title,agency,location,product_category,estimated_value,bid_deadline,description,website_url,contact_name,contact_email,contact_phone,is_quick_win,status,posted_date
Georgia Hospitality Group - Janitorial Supply Contract,Georgia Hospitality Group,"Atlanta, GA",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Georgia hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.georgiahospitalitygroup.com,Procurement Manager,purchasing@georgiahotels.com,(GA) Hospitality Purchasing,true,open,11/05/2025
Georgia Commercial Properties - Janitorial Supply Contract,Georgia Commercial Properties,"Atlanta, GA",Real Estate,"$600,000 - $2,000,000",02/03/2026,Georgia commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.georgiaproperties.com,Facilities Management,facilities@georgiaproperties.com,(GA) Property Management,true,open,11/05/2025
Georgia Airport Authority - Janitorial Supply Contract,Georgia Airport Authority,"Atlanta, GA",Airport,"$750,000 - $2,500,000",02/03/2026,"Georgia airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.georgiaairport.com,Facilities Procurement,procurement@georgiaairport.com,(GA) Airport Operations,true,open,11/05/2025
Georgia Correctional Facilities - Janitorial Supply Contract,Georgia Correctional Facilities,"Atlanta, GA",Corrections,"$900,000 - $3,000,000",02/03/2026,Georgia Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.ga.gov,Facilities Procurement,procurement@corrections.ga.gov,(GA) DOC Procurement,true,open,11/05/2025
Georgia Port Authority - Janitorial Supply Contract,Georgia Port Authority,"Atlanta, GA",Port,"$500,000 - $1,800,000",02/03/2026,"Georgia port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.georgiaport.com,Facilities Director,facilities@georgiaport.com,(GA) Port Operations,true,open,11/05/2025
Georgia Senior Living & Care - Janitorial Supply Contract,Georgia Senior Living & Care,"Atlanta, GA",Senior Care,"$600,000 - $2,000,000",02/03/2026,Georgia assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.georgiaseniorcare.com,Procurement Director,procurement@georgiaseniorcare.com,(GA) Senior Care Purchasing,true,open,11/05/2025
Georgia Retail Chain HQ - Janitorial Supply Contract,Georgia Retail Chain HQ,"Atlanta, GA",Retail,"$1,200,000 - $4,000,000",02/03/2026,Georgia retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.georgiaretail.com,Corporate Procurement,procurement@georgiaretail.com,(GA) Retail Procurement,true,open,11/05/2025
Georgia Manufacturing Plant - Janitorial Supply Contract,Georgia Manufacturing Plant,"Atlanta, GA",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Georgia manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.georgiamanufacturing.com,Operations Manager,operations@georgiamfg.com,(GA) Plant Operations,true,open,11/05/2025
Hawaii Facilities Management Department - Janitorial Supply Contract,Hawaii Facilities Management Department,"Honolulu, HI",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Hawaii Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.hi.gov,Facilities Director,facilities@dgs.hi.gov,(HI) State Facilities Office,true,open,11/05/2025
Hawaii Department of Education - Janitorial Supply Contract,Hawaii Department of Education,"Honolulu, HI",Education,"$1,000,000 - $5,000,000",02/03/2026,"Hawaii Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.hi.gov,Procurement Services,procurement@education.hi.gov,(HI) DOE Procurement,true,open,11/05/2025
Hawaii University System - Janitorial Supply Contract,Hawaii University System,"Honolulu, HI",Education,"$500,000 - $2,000,000",02/03/2026,Hawaii government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.hawaii.gov,Procurement Office,procurement@hi.gov,(HI) State Procurement,true,open,11/05/2025
Hawaii Healthcare Network - Janitorial Supply Contract,Hawaii Healthcare Network,"Honolulu, HI",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Hawaii healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.hawaiihealthnetwork.org,Supply Chain Director,procurement@hawaiihealth.org,(HI) Healthcare Procurement,true,open,11/05/2025
Hawaii Hospitality Group - Janitorial Supply Contract,Hawaii Hospitality Group,"Honolulu, HI",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Hawaii hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.hawaiihospitalitygroup.com,Procurement Manager,purchasing@hawaiihotels.com,(HI) Hospitality Purchasing,true,open,11/05/2025
Hawaii Commercial Properties - Janitorial Supply Contract,Hawaii Commercial Properties,"Honolulu, HI",Real Estate,"$600,000 - $2,000,000",02/03/2026,Hawaii commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.hawaiiproperties.com,Facilities Management,facilities@hawaiiproperties.com,(HI) Property Management,true,open,11/05/2025
Hawaii Airport Authority - Janitorial Supply Contract,Hawaii Airport Authority,"Honolulu, HI",Airport,"$750,000 - $2,500,000",02/03/2026,"Hawaii airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.hawaiiairport.com,Facilities Procurement,procurement@hawaiiairport.com,(HI) Airport Operations,true,open,11/05/2025
Hawaii Correctional Facilities - Janitorial Supply Contract,Hawaii Correctional Facilities,"Honolulu, HI",Corrections,"$900,000 - $3,000,000",02/03/2026,Hawaii Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.hi.gov,Facilities Procurement,procurement@corrections.hi.gov,(HI) DOC Procurement,true,open,11/05/2025
Hawaii Port Authority - Janitorial Supply Contract,Hawaii Port Authority,"Honolulu, HI",Port,"$500,000 - $1,800,000",02/03/2026,"Hawaii port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.hawaiiport.com,Facilities Director,facilities@hawaiiport.com,(HI) Port Operations,true,open,11/05/2025
Hawaii Senior Living & Care - Janitorial Supply Contract,Hawaii Senior Living & Care,"Honolulu, HI",Senior Care,"$600,000 - $2,000,000",02/03/2026,Hawaii assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.hawaiiseniorcare.com,Procurement Director,procurement@hawaiiseniorcare.com,(HI) Senior Care Purchasing,true,open,11/05/2025
Hawaii Retail Chain HQ - Janitorial Supply Contract,Hawaii Retail Chain HQ,"Honolulu, HI",Retail,"$1,200,000 - $4,000,000",02/03/2026,Hawaii retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.hawaiiretail.com,Corporate Procurement,procurement@hawaiiretail.com,(HI) Retail Procurement,true,open,11/05/2025
Hawaii Manufacturing Plant - Janitorial Supply Contract,Hawaii Manufacturing Plant,"Honolulu, HI",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Hawaii manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.hawaiimanufacturing.com,Operations Manager,operations@hawaiimfg.com,(HI) Plant Operations,true,open,11/05/2025
Idaho Facilities Management Department - Janitorial Supply Contract,Idaho Facilities Management Department,"Boise, ID",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Idaho Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.id.gov,Facilities Director,facilities@dgs.id.gov,(ID) State Facilities Office,true,open,11/05/2025
Idaho Department of Education - Janitorial Supply Contract,Idaho Department of Education,"Boise, ID",Education,"$1,000,000 - $5,000,000",02/03/2026,"Idaho Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.id.gov,Procurement Services,procurement@education.id.gov,(ID) DOE Procurement,true,open,11/05/2025
Idaho University System - Janitorial Supply Contract,Idaho University System,"Boise, ID",Education,"$500,000 - $2,000,000",02/03/2026,Idaho government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.idaho.gov,Procurement Office,procurement@id.gov,(ID) State Procurement,true,open,11/05/2025
Idaho Healthcare Network - Janitorial Supply Contract,Idaho Healthcare Network,"Boise, ID",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Idaho healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.idahohealthnetwork.org,Supply Chain Director,procurement@idahohealth.org,(ID) Healthcare Procurement,true,open,11/05/2025
Idaho Hospitality Group - Janitorial Supply Contract,Idaho Hospitality Group,"Boise, ID",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Idaho hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.idahohospitalitygroup.com,Procurement Manager,purchasing@idahohotels.com,(ID) Hospitality Purchasing,true,open,11/05/2025
Idaho Commercial Properties - Janitorial Supply Contract,Idaho Commercial Properties,"Boise, ID",Real Estate,"$600,000 - $2,000,000",02/03/2026,Idaho commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.idahoproperties.com,Facilities Management,facilities@idahoproperties.com,(ID) Property Management,true,open,11/05/2025
Idaho Airport Authority - Janitorial Supply Contract,Idaho Airport Authority,"Boise, ID",Airport,"$750,000 - $2,500,000",02/03/2026,"Idaho airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.idahoairport.com,Facilities Procurement,procurement@idahoairport.com,(ID) Airport Operations,true,open,11/05/2025
Idaho Correctional Facilities - Janitorial Supply Contract,Idaho Correctional Facilities,"Boise, ID",Corrections,"$900,000 - $3,000,000",02/03/2026,Idaho Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.id.gov,Facilities Procurement,procurement@corrections.id.gov,(ID) DOC Procurement,true,open,11/05/2025
Idaho Port Authority - Janitorial Supply Contract,Idaho Port Authority,"Boise, ID",Port,"$500,000 - $1,800,000",02/03/2026,"Idaho port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.idahoport.com,Facilities Director,facilities@idahoport.com,(ID) Port Operations,true,open,11/05/2025
Idaho Senior Living & Care - Janitorial Supply Contract,Idaho Senior Living & Care,"Boise, ID",Senior Care,"$600,000 - $2,000,000",02/03/2026,Idaho assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.idahoseniorcare.com,Procurement Director,procurement@idahoseniorcare.com,(ID) Senior Care Purchasing,true,open,11/05/2025
Idaho Retail Chain HQ - Janitorial Supply Contract,Idaho Retail Chain HQ,"Boise, ID",Retail,"$1,200,000 - $4,000,000",02/03/2026,Idaho retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.idahoretail.com,Corporate Procurement,procurement@idahoretail.com,(ID) Retail Procurement,true,open,11/05/2025
Idaho Manufacturing Plant - Janitorial Supply Contract,Idaho Manufacturing Plant,"Boise, ID",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Idaho manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.idahomanufacturing.com,Operations Manager,operations@idahomfg.com,(ID) Plant Operations,true,open,11/05/2025
Illinois Facilities Management Department - Janitorial Supply Contract,Illinois Facilities Management Department,"Springfield, IL",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Illinois Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.il.gov,Facilities Director,facilities@dgs.il.gov,(IL) State Facilities Office,true,open,11/05/2025
Illinois Department of Education - Janitorial Supply Contract,Illinois Department of Education,"Springfield, IL",Education,"$1,000,000 - $5,000,000",02/03/2026,"Illinois Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.il.gov,Procurement Services,procurement@education.il.gov,(IL) DOE Procurement,true,open,11/05/2025
Illinois University System - Janitorial Supply Contract,Illinois University System,"Springfield, IL",Education,"$500,000 - $2,000,000",02/03/2026,Illinois government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.illinois.gov,Procurement Office,procurement@il.gov,(IL) State Procurement,true,open,11/05/2025
Illinois Healthcare Network - Janitorial Supply Contract,Illinois Healthcare Network,"Springfield, IL",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Illinois healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.illinoishealthnetwork.org,Supply Chain Director,procurement@illinoishealth.org,(IL) Healthcare Procurement,true,open,11/05/2025
Illinois Hospitality Group - Janitorial Supply Contract,Illinois Hospitality Group,"Springfield, IL",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Illinois hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.illinoishospitalitygroup.com,Procurement Manager,purchasing@illinoishotels.com,(IL) Hospitality Purchasing,true,open,11/05/2025
Illinois Commercial Properties - Janitorial Supply Contract,Illinois Commercial Properties,"Springfield, IL",Real Estate,"$600,000 - $2,000,000",02/03/2026,Illinois commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.illinoisproperties.com,Facilities Management,facilities@illinoisproperties.com,(IL) Property Management,true,open,11/05/2025
Illinois Airport Authority - Janitorial Supply Contract,Illinois Airport Authority,"Springfield, IL",Airport,"$750,000 - $2,500,000",02/03/2026,"Illinois airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.illinoisairport.com,Facilities Procurement,procurement@illinoisairport.com,(IL) Airport Operations,true,open,11/05/2025
Illinois Correctional Facilities - Janitorial Supply Contract,Illinois Correctional Facilities,"Springfield, IL",Corrections,"$900,000 - $3,000,000",02/03/2026,Illinois Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.il.gov,Facilities Procurement,procurement@corrections.il.gov,(IL) DOC Procurement,true,open,11/05/2025
Illinois Port Authority - Janitorial Supply Contract,Illinois Port Authority,"Springfield, IL",Port,"$500,000 - $1,800,000",02/03/2026,"Illinois port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.illinoisport.com,Facilities Director,facilities@illinoisport.com,(IL) Port Operations,true,open,11/05/2025
Illinois Senior Living & Care - Janitorial Supply Contract,Illinois Senior Living & Care,"Springfield, IL",Senior Care,"$600,000 - $2,000,000",02/03/2026,Illinois assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.illinoisseniorcare.com,Procurement Director,procurement@illinoisseniorcare.com,(IL) Senior Care Purchasing,true,open,11/05/2025
Illinois Retail Chain HQ - Janitorial Supply Contract,Illinois Retail Chain HQ,"Springfield, IL",Retail,"$1,200,000 - $4,000,000",02/03/2026,Illinois retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.illinoisretail.com,Corporate Procurement,procurement@illinoisretail.com,(IL) Retail Procurement,true,open,11/05/2025
Illinois Manufacturing Plant - Janitorial Supply Contract,Illinois Manufacturing Plant,"Springfield, IL",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Illinois manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.illinoismanufacturing.com,Operations Manager,operations@illinoismfg.com,(IL) Plant Operations,true,open,11/05/2025
Indiana Facilities Management Department - Janitorial Supply Contract,Indiana Facilities Management Department,"Indianapolis, IN",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Indiana Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.in.gov,Facilities Director,facilities@dgs.in.gov,(IN) State Facilities Office,true,open,11/05/2025
Indiana Department of Education - Janitorial Supply Contract,Indiana Department of Education,"Indianapolis, IN",Education,"$1,000,000 - $5,000,000",02/03/2026,"Indiana Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.in.gov,Procurement Services,procurement@education.in.gov,(IN) DOE Procurement,true,open,11/05/2025
Indiana University System - Janitorial Supply Contract,Indiana University System,"Indianapolis, IN",Education,"$500,000 - $2,000,000",02/03/2026,Indiana government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.indiana.gov,Procurement Office,procurement@in.gov,(IN) State Procurement,true,open,11/05/2025
Indiana Healthcare Network - Janitorial Supply Contract,Indiana Healthcare Network,"Indianapolis, IN",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Indiana healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.indianahealthnetwork.org,Supply Chain Director,procurement@indianahealth.org,(IN) Healthcare Procurement,true,open,11/05/2025
Indiana Hospitality Group - Janitorial Supply Contract,Indiana Hospitality Group,"Indianapolis, IN",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Indiana hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.indianahospitalitygroup.com,Procurement Manager,purchasing@indianahotels.com,(IN) Hospitality Purchasing,true,open,11/05/2025
Indiana Commercial Properties - Janitorial Supply Contract,Indiana Commercial Properties,"Indianapolis, IN",Real Estate,"$600,000 - $2,000,000",02/03/2026,Indiana commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.indianaproperties.com,Facilities Management,facilities@indianaproperties.com,(IN) Property Management,true,open,11/05/2025
Indiana Airport Authority - Janitorial Supply Contract,Indiana Airport Authority,"Indianapolis, IN",Airport,"$750,000 - $2,500,000",02/03/2026,"Indiana airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.indianaairport.com,Facilities Procurement,procurement@indianaairport.com,(IN) Airport Operations,true,open,11/05/2025
Indiana Correctional Facilities - Janitorial Supply Contract,Indiana Correctional Facilities,"Indianapolis, IN",Corrections,"$900,000 - $3,000,000",02/03/2026,Indiana Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.in.gov,Facilities Procurement,procurement@corrections.in.gov,(IN) DOC Procurement,true,open,11/05/2025
Indiana Port Authority - Janitorial Supply Contract,Indiana Port Authority,"Indianapolis, IN",Port,"$500,000 - $1,800,000",02/03/2026,"Indiana port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.indianaport.com,Facilities Director,facilities@indianaport.com,(IN) Port Operations,true,open,11/05/2025
Indiana Senior Living & Care - Janitorial Supply Contract,Indiana Senior Living & Care,"Indianapolis, IN",Senior Care,"$600,000 - $2,000,000",02/03/2026,Indiana assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.indianaseniorcare.com,Procurement Director,procurement@indianaseniorcare.com,(IN) Senior Care Purchasing,true,open,11/05/2025
Indiana Retail Chain HQ - Janitorial Supply Contract,Indiana Retail Chain HQ,"Indianapolis, IN",Retail,"$1,200,000 - $4,000,000",02/03/2026,Indiana retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.indianaretail.com,Corporate Procurement,procurement@indianaretail.com,(IN) Retail Procurement,true,open,11/05/2025
Indiana Manufacturing Plant - Janitorial Supply Contract,Indiana Manufacturing Plant,"Indianapolis, IN",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Indiana manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.indianamanufacturing.com,Operations Manager,operations@indianamfg.com,(IN) Plant Operations,true,open,11/05/2025
Iowa Facilities Management Department - Janitorial Supply Contract,Iowa Facilities Management Department,"Des Moines, IA",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Iowa Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.ia.gov,Facilities Director,facilities@dgs.ia.gov,(IA) State Facilities Office,true,open,11/05/2025
Iowa Department of Education - Janitorial Supply Contract,Iowa Department of Education,"Des Moines, IA",Education,"$1,000,000 - $5,000,000",02/03/2026,"Iowa Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.ia.gov,Procurement Services,procurement@education.ia.gov,(IA) DOE Procurement,true,open,11/05/2025
Iowa University System - Janitorial Supply Contract,Iowa University System,"Des Moines, IA",Education,"$500,000 - $2,000,000",02/03/2026,Iowa government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.iowa.gov,Procurement Office,procurement@ia.gov,(IA) State Procurement,true,open,11/05/2025
Iowa Healthcare Network - Janitorial Supply Contract,Iowa Healthcare Network,"Des Moines, IA",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Iowa healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.iowahealthnetwork.org,Supply Chain Director,procurement@iowahealth.org,(IA) Healthcare Procurement,true,open,11/05/2025
Iowa Hospitality Group - Janitorial Supply Contract,Iowa Hospitality Group,"Des Moines, IA",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Iowa hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.iowahospitalitygroup.com,Procurement Manager,purchasing@iowahotels.com,(IA) Hospitality Purchasing,true,open,11/05/2025
Iowa Commercial Properties - Janitorial Supply Contract,Iowa Commercial Properties,"Des Moines, IA",Real Estate,"$600,000 - $2,000,000",02/03/2026,Iowa commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.iowaproperties.com,Facilities Management,facilities@iowaproperties.com,(IA) Property Management,true,open,11/05/2025
Iowa Airport Authority - Janitorial Supply Contract,Iowa Airport Authority,"Des Moines, IA",Airport,"$750,000 - $2,500,000",02/03/2026,"Iowa airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.iowaairport.com,Facilities Procurement,procurement@iowaairport.com,(IA) Airport Operations,true,open,11/05/2025
Iowa Correctional Facilities - Janitorial Supply Contract,Iowa Correctional Facilities,"Des Moines, IA",Corrections,"$900,000 - $3,000,000",02/03/2026,Iowa Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.ia.gov,Facilities Procurement,procurement@corrections.ia.gov,(IA) DOC Procurement,true,open,11/05/2025
Iowa Port Authority - Janitorial Supply Contract,Iowa Port Authority,"Des Moines, IA",Port,"$500,000 - $1,800,000",02/03/2026,"Iowa port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.iowaport.com,Facilities Director,facilities@iowaport.com,(IA) Port Operations,true,open,11/05/2025
Iowa Senior Living & Care - Janitorial Supply Contract,Iowa Senior Living & Care,"Des Moines, IA",Senior Care,"$600,000 - $2,000,000",02/03/2026,Iowa assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.iowaseniorcare.com,Procurement Director,procurement@iowaseniorcare.com,(IA) Senior Care Purchasing,true,open,11/05/2025
Iowa Retail Chain HQ - Janitorial Supply Contract,Iowa Retail Chain HQ,"Des Moines, IA",Retail,"$1,200,000 - $4,000,000",02/03/2026,Iowa retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.iowaretail.com,Corporate Procurement,procurement@iowaretail.com,(IA) Retail Procurement,true,open,11/05/2025
Iowa Manufacturing Plant - Janitorial Supply Contract,Iowa Manufacturing Plant,"Des Moines, IA",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Iowa manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.iowamanufacturing.com,Operations Manager,operations@iowamfg.com,(IA) Plant Operations,true,open,11/05/2025
Kansas Facilities Management Department - Janitorial Supply Contract,Kansas Facilities Management Department,"Topeka, KS",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Kansas Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.ks.gov,Facilities Director,facilities@dgs.ks.gov,(KS) State Facilities Office,true,open,11/05/2025
Kansas Department of Education - Janitorial Supply Contract,Kansas Department of Education,"Topeka, KS",Education,"$1,000,000 - $5,000,000",02/03/2026,"Kansas Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.ks.gov,Procurement Services,procurement@education.ks.gov,(KS) DOE Procurement,true,open,11/05/2025
Kansas University System - Janitorial Supply Contract,Kansas University System,"Topeka, KS",Education,"$500,000 - $2,000,000",02/03/2026,Kansas government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.kansas.gov,Procurement Office,procurement@ks.gov,(KS) State Procurement,true,open,11/05/2025
Kansas Healthcare Network - Janitorial Supply Contract,Kansas Healthcare Network,"Topeka, KS",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Kansas healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.kansashealthnetwork.org,Supply Chain Director,procurement@kansashealth.org,(KS) Healthcare Procurement,true,open,11/05/2025
Kansas Hospitality Group - Janitorial Supply Contract,Kansas Hospitality Group,"Topeka, KS",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Kansas hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.kansashospitalitygroup.com,Procurement Manager,purchasing@kansashotels.com,(KS) Hospitality Purchasing,true,open,11/05/2025
Kansas Commercial Properties - Janitorial Supply Contract,Kansas Commercial Properties,"Topeka, KS",Real Estate,"$600,000 - $2,000,000",02/03/2026,Kansas commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.kansasproperties.com,Facilities Management,facilities@kansasproperties.com,(KS) Property Management,true,open,11/05/2025
Kansas Airport Authority - Janitorial Supply Contract,Kansas Airport Authority,"Topeka, KS",Airport,"$750,000 - $2,500,000",02/03/2026,"Kansas airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.kansasairport.com,Facilities Procurement,procurement@kansasairport.com,(KS) Airport Operations,true,open,11/05/2025
Kansas Correctional Facilities - Janitorial Supply Contract,Kansas Correctional Facilities,"Topeka, KS",Corrections,"$900,000 - $3,000,000",02/03/2026,Kansas Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.ks.gov,Facilities Procurement,procurement@corrections.ks.gov,(KS) DOC Procurement,true,open,11/05/2025
Kansas Port Authority - Janitorial Supply Contract,Kansas Port Authority,"Topeka, KS",Port,"$500,000 - $1,800,000",02/03/2026,"Kansas port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.kansasport.com,Facilities Director,facilities@kansasport.com,(KS) Port Operations,true,open,11/05/2025
Kansas Senior Living & Care - Janitorial Supply Contract,Kansas Senior Living & Care,"Topeka, KS",Senior Care,"$600,000 - $2,000,000",02/03/2026,Kansas assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.kansasseniorcare.com,Procurement Director,procurement@kansasseniorcare.com,(KS) Senior Care Purchasing,true,open,11/05/2025
Kansas Retail Chain HQ - Janitorial Supply Contract,Kansas Retail Chain HQ,"Topeka, KS",Retail,"$1,200,000 - $4,000,000",02/03/2026,Kansas retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.kansasretail.com,Corporate Procurement,procurement@kansasretail.com,(KS) Retail Procurement,true,open,11/05/2025
Kansas Manufacturing Plant - Janitorial Supply Contract,Kansas Manufacturing Plant,"Topeka, KS",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Kansas manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.kansasmanufacturing.com,Operations Manager,operations@kansasmfg.com,(KS) Plant Operations,true,open,11/05/2025
